order_id,order_date,customer_id,customer_name,country,industry,customer_tier,product,category,quantity,unit_price,discount,revenue,sales_rep
10017,2025-04-02,C078,Customer 078,Denmark,Retail,SMB,Data Platform,Data,3,799,0.0,2397.0,Emma Jensen
10018,2025-12-20,C020,Customer 020,Sweden,Retail,Enterprise,Marketing Automation,Marketing,3,599,0.05,1707.15,Clara Madsen
10019,2025-02-20,C018,Customer 018,Germany,Technology,SMB,Analytics Basic,Analytics,3,249,0.0,747.0,Liam Nielsen
10020,2025-07-09,C093,Customer 093,United Kingdom,Healthcare,Enterprise,CRM Suite,CRM,5,399,0.1,1795.5,Clara Madsen
10021,2025-05-05,C060,Customer 060,Norway,Retail,SMB,Marketing Automation,Marketing,3,599,0.15,1527.45,Lucas Thomsen
10022,2025-05-30,C063,Customer 063,United Kingdom,Healthcare,SMB,Business Intelligence,Analytics,3,699,0.05,1992.15,Oliver Pedersen
10023,2025-11-10,C006,Customer 006,Denmark,Technology,SMB,Marketing Automation,Marketing,10,599,0.0,5990.0,Liam Nielsen
10024,2025-12-08,C032,Customer 032,Denmark,Healthcare,SMB,Marketing Automation,Marketing,4,599,0.2,1916.8,Noah Andersen
10025,2025-11-01,C093,Customer 093,United Kingdom,Healthcare,Enterprise,Customer Support,Customer Experience,2,299,0.05,568.1,Sofia Hansen
10026,2025-02-23,C043,Customer 043,Denmark,Retail,Mid-Market,Marketing Automation,Marketing,4,599,0.05,2276.2,Noah Andersen
10027,2026-03-20,C002,Customer 002,Belgium,Healthcare,SMB,Workflow Automation,Automation,2,449,0.05,853.1,Sofia Hansen
10028,2025-09-21,C060,Customer 060,Norway,Retail,SMB,Business Intelligence,Analytics,1,699,0.15,594.15,Liam Nielsen
10029,2025-02-22,C023,Customer 023,Sweden,Healthcare,Mid-Market,Business Intelligence,Analytics,3,699,0.05,1992.15,Oliver Pedersen
10030,2025-01-05,C083,Customer 083,Norway,Technology,SMB,Analytics Pro,Analytics,5,499,0.1,2245.5,Lucas Thomsen
10031,2025-04-13,C031,Customer 031,Germany,Manufacturing,SMB,Marketing Automation,Marketing,5,599,0.1,2695.5,Oliver Pedersen
10032,2025-07-15,C005,Customer 005,Denmark,Professional Services,Mid-Market,Customer Support,Customer Experience,2,299,0.0,598.0,Emma Jensen
10033,2025-12-16,C083,Customer 083,Norway,Technology,SMB,Marketing Automation,Marketing,3,599,0.05,1707.15,Oliver Pedersen
10034,2025-02-16,C034,Customer 034,Belgium,Professional Services,SMB,CRM Suite,CRM,1,399,0.1,359.1,Freja Larsen
10035,2025-09-26,C010,Customer 010,Netherlands,Healthcare,SMB,CRM Suite,CRM,10,399,0.05,3790.5,Liam Nielsen
10036,2026-01-05,C089,Customer 089,United Kingdom,Financial Services,Mid-Market,Customer Support,Customer Experience,10,299,0.1,2691.0,Lucas Thomsen
10037,2025-04-16,C002,Customer 002,Belgium,Healthcare,SMB,Analytics Pro,Analytics,3,499,0.15,1272.45,Lucas Thomsen
10038,2025-04-30,C011,Customer 011,Denmark,Technology,Mid-Market,Analytics Pro,Analytics,4,499,0.1,1796.4,Emma Jensen
10039,2025-02-27,C050,Customer 050,Sweden,Retail,Mid-Market,Business Intelligence,Analytics,4,699,0.1,2516.4,Lucas Thomsen
10040,2025-12-12,C031,Customer 031,Germany,Manufacturing,SMB,Business Intelligence,Analytics,3,699,0.1,1887.3,Oliver Pedersen
10041,2026-04-19,C056,Customer 056,Belgium,Retail,SMB,Analytics Basic,Analytics,1,249,0.1,224.1,Liam Nielsen
10042,2025-04-27,C079,Customer 079,Norway,Retail,SMB,Customer Support,Customer Experience,2,299,0.05,568.1,Noah Andersen
10043,2025-05-07,C073,Customer 073,Denmark,Manufacturing,Enterprise,Marketing Automation,Marketing,3,599,0.0,1797.0,Oliver Pedersen
10044,2026-01-28,C087,Customer 087,Netherlands,Healthcare,Mid-Market,Data Platform,Data,3,799,0.05,2277.15,Clara Madsen
10045,2025-02-27,C083,Customer 083,Norway,Technology,SMB,Customer Support,Customer Experience,2,299,0.1,538.2,Sofia Hansen
10046,2026-05-28,C009,Customer 009,Germany,Technology,Enterprise,Analytics Basic,Analytics,5,249,0.05,1182.75,Liam Nielsen
10047,2025-04-06,C099,Customer 099,Denmark,Retail,Mid-Market,Business Intelligence,Analytics,1,699,0.1,629.1,Lucas Thomsen
10048,2025-04-28,C021,Customer 021,Germany,Technology,SMB,Customer Support,Customer Experience,3,299,0.05,852.15,Emma Jensen
10049,2026-05-03,C073,Customer 073,Denmark,Manufacturing,Enterprise,Customer Support,Customer Experience,3,299,0.1,807.3,Noah Andersen
10050,2025-08-25,C028,Customer 028,Germany,Professional Services,Mid-Market,Business Intelligence,Analytics,3,699,0.0,2097.0,Freja Larsen
10051,2025-09-29,C062,Customer 062,Sweden,Healthcare,Mid-Market,Workflow Automation,Automation,3,449,0.1,1212.3,Noah Andersen
10052,2025-07-08,C007,Customer 007,Denmark,Technology,SMB,Analytics Basic,Analytics,2,249,0.05,473.1,Oliver Pedersen
10053,2026-03-23,C080,Customer 080,Denmark,Financial Services,Mid-Market,Business Intelligence,Analytics,1,699,0.0,699.0,Sofia Hansen
10054,2025-09-04,C016,Customer 016,Sweden,Manufacturing,Mid-Market,Analytics Pro,Analytics,3,499,0.0,1497.0,Noah Andersen
10055,2025-03-17,C097,Customer 097,Germany,Financial Services,Mid-Market,Marketing Automation,Marketing,3,599,0.1,1617.3,Freja Larsen
10056,2025-06-03,C004,Customer 004,Germany,Healthcare,Mid-Market,Business Intelligence,Analytics,1,699,0.05,664.05,Clara Madsen
10057,2026-03-11,C004,Customer 004,Germany,Healthcare,Mid-Market,Analytics Basic,Analytics,4,249,0.0,996.0,Emma Jensen
10058,2025-03-27,C040,Customer 040,Finland,Retail,Mid-Market,CRM Suite,CRM,2,399,0.2,638.4,Liam Nielsen
10059,2025-10-12,C017,Customer 017,Norway,Manufacturing,SMB,Analytics Pro,Analytics,3,499,0.1,1347.3,Sofia Hansen
10060,2025-08-08,C052,Customer 052,United Kingdom,Manufacturing,Mid-Market,CRM Suite,CRM,4,399,0.2,1276.8,Freja Larsen
10061,2025-03-10,C093,Customer 093,United Kingdom,Healthcare,Enterprise,Data Platform,Data,1,799,0.05,759.05,Lucas Thomsen
10062,2025-02-16,C052,Customer 052,United Kingdom,Manufacturing,Mid-Market,Business Intelligence,Analytics,1,699,0.05,664.05,Oliver Pedersen
10063,2025-04-04,C036,Customer 036,United Kingdom,Retail,SMB,Analytics Pro,Analytics,4,499,0.15,1696.6,Oliver Pedersen
10064,2026-03-29,C038,Customer 038,Denmark,Financial Services,SMB,Marketing Automation,Marketing,3,599,0.05,1707.15,Oliver Pedersen
10065,2025-07-23,C050,Customer 050,Sweden,Retail,Mid-Market,Business Intelligence,Analytics,3,699,0.1,1887.3,Lucas Thomsen
10066,2025-08-06,C063,Customer 063,United Kingdom,Healthcare,SMB,Marketing Automation,Marketing,4,599,0.0,2396.0,Lucas Thomsen
10067,2026-04-19,C063,Customer 063,United Kingdom,Healthcare,SMB,Workflow Automation,Automation,4,449,0.05,1706.2,Sofia Hansen
10068,2026-03-08,C062,Customer 062,Sweden,Healthcare,Mid-Market,Customer Support,Customer Experience,10,299,0.0,2990.0,Noah Andersen
10069,2025-12-07,C099,Customer 099,Denmark,Retail,Mid-Market,CRM Suite,CRM,3,399,0.0,1197.0,Sofia Hansen
10070,2025-10-16,C007,Customer 007,Denmark,Technology,SMB,Analytics Pro,Analytics,2,499,0.0,998.0,Oliver Pedersen
10071,2025-09-11,C027,Customer 027,Sweden,Healthcare,SMB,Marketing Automation,Marketing,2,599,0.0,1198.0,Clara Madsen
10072,2025-12-23,C092,Customer 092,Netherlands,Technology,SMB,Analytics Basic,Analytics,1,249,0.2,199.2,Freja Larsen
10073,2025-01-23,C086,Customer 086,Norway,Professional Services,Mid-Market,Marketing Automation,Marketing,3,599,0.0,1797.0,Liam Nielsen
10074,2026-06-06,C014,Customer 014,Sweden,Professional Services,SMB,Analytics Basic,Analytics,2,249,0.1,448.2,Liam Nielsen
10075,2025-04-10,C071,Customer 071,United Kingdom,Financial Services,SMB,Business Intelligence,Analytics,5,699,0.1,3145.5,Sofia Hansen
10076,2025-06-29,C086,Customer 086,Norway,Professional Services,Mid-Market,Analytics Pro,Analytics,3,499,0.05,1422.15,Oliver Pedersen
10077,2025-08-11,C005,Customer 005,Denmark,Professional Services,Mid-Market,Marketing Automation,Marketing,3,599,0.0,1797.0,Lucas Thomsen
10078,2026-03-18,C055,Customer 055,Germany,Professional Services,Mid-Market,Data Platform,Data,2,799,0.1,1438.2,Emma Jensen
10079,2025-11-21,C002,Customer 002,Belgium,Healthcare,SMB,Marketing Automation,Marketing,1,599,0.1,539.1,Clara Madsen
10080,2026-05-31,C062,Customer 062,Sweden,Healthcare,Mid-Market,Workflow Automation,Automation,1,449,0.1,404.1,Sofia Hansen
10081,2025-01-16,C091,Customer 091,Denmark,Professional Services,SMB,Data Platform,Data,2,799,0.1,1438.2,Oliver Pedersen
10082,2025-12-02,C021,Customer 021,Germany,Technology,SMB,Analytics Pro,Analytics,1,499,0.2,399.2,Noah Andersen
10083,2025-09-15,C079,Customer 079,Norway,Retail,SMB,Workflow Automation,Automation,3,449,0.05,1279.65,Liam Nielsen
10084,2026-05-12,C021,Customer 021,Germany,Technology,SMB,Marketing Automation,Marketing,5,599,0.0,2995.0,Liam Nielsen
10085,2025-06-09,C010,Customer 010,Netherlands,Healthcare,SMB,Analytics Basic,Analytics,5,249,0.1,1120.5,Clara Madsen
10086,2026-04-20,C087,Customer 087,Netherlands,Healthcare,Mid-Market,Marketing Automation,Marketing,3,599,0.0,1797.0,Liam Nielsen
10087,2026-01-15,C058,Customer 058,Sweden,Retail,SMB,CRM Suite,CRM,1,399,0.15,339.15,Emma Jensen
10088,2026-06-29,C039,Customer 039,Netherlands,Professional Services,SMB,Business Intelligence,Analytics,5,699,0.0,3495.0,Oliver Pedersen
10089,2026-03-03,C005,Customer 005,Denmark,Professional Services,Mid-Market,Customer Support,Customer Experience,5,299,0.0,1495.0,Oliver Pedersen
10090,2025-09-25,C065,Customer 065,Sweden,Manufacturing,Mid-Market,Analytics Basic,Analytics,1,249,0.1,224.1,Clara Madsen
10091,2026-02-21,C013,Customer 013,United Kingdom,Financial Services,SMB,CRM Suite,CRM,4,399,0.05,1516.2,Oliver Pedersen
10092,2025-06-17,C085,Customer 085,Norway,Manufacturing,Mid-Market,Data Platform,Data,2,799,0.05,1518.1,Lucas Thomsen
10093,2025-02-12,C090,Customer 090,Finland,Retail,Mid-Market,Business Intelligence,Analytics,4,699,0.05,2656.2,Clara Madsen
10094,2025-10-12,C085,Customer 085,Norway,Manufacturing,Mid-Market,Analytics Pro,Analytics,10,499,0.15,4241.5,Oliver Pedersen
10095,2026-02-01,C053,Customer 053,Belgium,Healthcare,SMB,Analytics Basic,Analytics,1,249,0.0,249.0,Emma Jensen
10096,2025-01-12,C082,Customer 082,Germany,Manufacturing,SMB,Customer Support,Customer Experience,5,299,0.15,1270.75,Freja Larsen
10097,2025-10-29,C045,Customer 045,Sweden,Professional Services,Mid-Market,Business Intelligence,Analytics,3,699,0.0,2097.0,Sofia Hansen
10098,2025-09-10,C032,Customer 032,Denmark,Healthcare,SMB,Data Platform,Data,10,799,0.1,7191.0,Sofia Hansen
10099,2026-05-14,C036,Customer 036,United Kingdom,Retail,SMB,Workflow Automation,Automation,2,449,0.1,808.2,Oliver Pedersen
10100,2025-02-04,C081,Customer 081,United Kingdom,Professional Services,SMB,Workflow Automation,Automation,4,449,0.0,1796.0,Noah Andersen
10101,2025-03-31,C099,Customer 099,Denmark,Retail,Mid-Market,Customer Support,Customer Experience,1,299,0.05,284.05,Liam Nielsen
10102,2026-02-22,C060,Customer 060,Norway,Retail,SMB,Analytics Pro,Analytics,2,499,0.0,998.0,Emma Jensen
10103,2025-04-25,C011,Customer 011,Denmark,Technology,Mid-Market,Analytics Pro,Analytics,1,499,0.1,449.1,Noah Andersen
10104,2025-07-15,C063,Customer 063,United Kingdom,Healthcare,SMB,Data Platform,Data,10,799,0.05,7590.5,Lucas Thomsen
10105,2026-05-16,C021,Customer 021,Germany,Technology,SMB,Analytics Basic,Analytics,4,249,0.1,896.4,Noah Andersen
10106,2026-05-08,C052,Customer 052,United Kingdom,Manufacturing,Mid-Market,Data Platform,Data,5,799,0.0,3995.0,Oliver Pedersen
10107,2025-03-16,C055,Customer 055,Germany,Professional Services,Mid-Market,Marketing Automation,Marketing,5,599,0.0,2995.0,Emma Jensen
10108,2026-02-17,C026,Customer 026,United Kingdom,Healthcare,SMB,Analytics Pro,Analytics,1,499,0.0,499.0,Sofia Hansen
10109,2026-01-11,C068,Customer 068,United Kingdom,Technology,SMB,Business Intelligence,Analytics,2,699,0.0,1398.0,Liam Nielsen
10110,2026-02-24,C034,Customer 034,Belgium,Professional Services,SMB,Marketing Automation,Marketing,1,599,0.05,569.05,Sofia Hansen
10111,2025-10-04,C052,Customer 052,United Kingdom,Manufacturing,Mid-Market,Workflow Automation,Automation,1,449,0.15,381.65,Noah Andersen
10112,2026-01-29,C082,Customer 082,Germany,Manufacturing,SMB,Workflow Automation,Automation,1,449,0.1,404.1,Lucas Thomsen
10113,2026-04-02,C099,Customer 099,Denmark,Retail,Mid-Market,CRM Suite,CRM,2,399,0.05,758.1,Liam Nielsen
10114,2025-07-11,C093,Customer 093,United Kingdom,Healthcare,Enterprise,Customer Support,Customer Experience,2,299,0.2,478.4,Freja Larsen
10115,2025-04-09,C052,Customer 052,United Kingdom,Manufacturing,Mid-Market,Marketing Automation,Marketing,1,599,0.1,539.1,Noah Andersen
10116,2025-04-06,C029,Customer 029,Germany,Professional Services,Mid-Market,Customer Support,Customer Experience,1,299,0.15,254.15,Sofia Hansen
10117,2025-07-09,C038,Customer 038,Denmark,Financial Services,SMB,Data Platform,Data,1,799,0.05,759.05,Sofia Hansen
10118,2025-02-06,C042,Customer 042,Germany,Technology,SMB,Marketing Automation,Marketing,10,599,0.0,5990.0,Oliver Pedersen
10119,2026-01-04,C021,Customer 021,Germany,Technology,SMB,Data Platform,Data,4,799,0.0,3196.0,Sofia Hansen
10120,2026-06-09,C042,Customer 042,Germany,Technology,SMB,CRM Suite,CRM,10,399,0.1,3591.0,Emma Jensen
10121,2025-10-06,C013,Customer 013,United Kingdom,Financial Services,SMB,Analytics Pro,Analytics,2,499,0.0,998.0,Noah Andersen
10122,2025-08-05,C064,Customer 064,Norway,Professional Services,Mid-Market,Workflow Automation,Automation,2,449,0.0,898.0,Clara Madsen
10123,2025-09-30,C017,Customer 017,Norway,Manufacturing,SMB,CRM Suite,CRM,4,399,0.05,1516.2,Clara Madsen
10124,2025-03-03,C009,Customer 009,Germany,Technology,Enterprise,Workflow Automation,Automation,2,449,0.05,853.1,Lucas Thomsen
10125,2025-12-08,C041,Customer 041,Denmark,Healthcare,SMB,Analytics Pro,Analytics,2,499,0.1,898.2,Liam Nielsen
10126,2026-02-01,C001,Customer 001,Norway,Retail,SMB,Data Platform,Data,1,799,0.0,799.0,Sofia Hansen
10127,2025-01-19,C002,Customer 002,Belgium,Healthcare,SMB,Analytics Pro,Analytics,1,499,0.05,474.05,Oliver Pedersen
10128,2025-06-26,C060,Customer 060,Norway,Retail,SMB,Workflow Automation,Automation,2,449,0.1,808.2,Oliver Pedersen
10129,2026-01-31,C048,Customer 048,Germany,Professional Services,Enterprise,Workflow Automation,Automation,2,449,0.2,718.4,Sofia Hansen
10130,2026-03-21,C029,Customer 029,Germany,Professional Services,Mid-Market,Customer Support,Customer Experience,3,299,0.1,807.3,Emma Jensen
10131,2025-08-21,C097,Customer 097,Germany,Financial Services,Mid-Market,Business Intelligence,Analytics,1,699,0.15,594.15,Oliver Pedersen
10132,2025-03-17,C010,Customer 010,Netherlands,Healthcare,SMB,CRM Suite,CRM,1,399,0.1,359.1,Clara Madsen
10133,2025-09-22,C058,Customer 058,Sweden,Retail,SMB,Marketing Automation,Marketing,4,599,0.05,2276.2,Liam Nielsen
10134,2026-03-31,C060,Customer 060,Norway,Retail,SMB,Workflow Automation,Automation,1,449,0.0,449.0,Noah Andersen
10135,2026-01-19,C021,Customer 021,Germany,Technology,SMB,CRM Suite,CRM,2,399,0.1,718.2,Freja Larsen
10136,2026-05-21,C028,Customer 028,Germany,Professional Services,Mid-Market,Customer Support,Customer Experience,5,299,0.1,1345.5,Emma Jensen
10137,2026-01-02,C075,Customer 075,Netherlands,Healthcare,Mid-Market,Analytics Pro,Analytics,1,499,0.1,449.1,Lucas Thomsen
10138,2025-05-24,C034,Customer 034,Belgium,Professional Services,SMB,Customer Support,Customer Experience,1,299,0.05,284.05,Lucas Thomsen
10139,2025-03-10,C008,Customer 008,United Kingdom,Financial Services,Mid-Market,Analytics Basic,Analytics,2,249,0.05,473.1,Oliver Pedersen
10140,2025-04-09,C059,Customer 059,Denmark,Professional Services,Mid-Market,Analytics Basic,Analytics,2,249,0.0,498.0,Noah Andersen
10141,2026-01-31,C086,Customer 086,Norway,Professional Services,Mid-Market,Marketing Automation,Marketing,3,599,0.05,1707.15,Freja Larsen
10142,2025-01-25,C072,Customer 072,Sweden,Retail,SMB,Customer Support,Customer Experience,4,299,0.0,1196.0,Lucas Thomsen
10143,2026-04-14,C049,Customer 049,Germany,Technology,Enterprise,Data Platform,Data,1,799,0.1,719.1,Sofia Hansen
10144,2026-04-29,C079,Customer 079,Norway,Retail,SMB,Marketing Automation,Marketing,3,599,0.0,1797.0,Sofia Hansen
10145,2025-05-31,C017,Customer 017,Norway,Manufacturing,SMB,Data Platform,Data,3,799,0.0,2397.0,Liam Nielsen
10146,2025-05-24,C060,Customer 060,Norway,Retail,SMB,Marketing Automation,Marketing,1,599,0.05,569.05,Freja Larsen
10147,2025-02-08,C087,Customer 087,Netherlands,Healthcare,Mid-Market,Analytics Basic,Analytics,3,249,0.1,672.3,Sofia Hansen
10148,2025-04-19,C088,Customer 088,Germany,Financial Services,Mid-Market,Marketing Automation,Marketing,2,599,0.05,1138.1,Lucas Thomsen
10149,2025-02-11,C045,Customer 045,Sweden,Professional Services,Mid-Market,Analytics Basic,Analytics,2,249,0.0,498.0,Sofia Hansen
10150,2025-07-05,C083,Customer 083,Norway,Technology,SMB,Workflow Automation,Automation,1,449,0.05,426.55,Clara Madsen
10151,2026-02-02,C069,Customer 069,Denmark,Retail,Mid-Market,Analytics Pro,Analytics,2,499,0.0,998.0,Oliver Pedersen
10152,2025-08-11,C032,Customer 032,Denmark,Healthcare,SMB,Data Platform,Data,2,799,0.15,1358.3,Lucas Thomsen
10153,2025-05-13,C044,Customer 044,United Kingdom,Financial Services,Mid-Market,Customer Support,Customer Experience,4,299,0.15,1016.6,Lucas Thomsen
10154,2025-06-12,C065,Customer 065,Sweden,Manufacturing,Mid-Market,Workflow Automation,Automation,1,449,0.05,426.55,Lucas Thomsen
10155,2025-08-03,C087,Customer 087,Netherlands,Healthcare,Mid-Market,Workflow Automation,Automation,2,449,0.0,898.0,Liam Nielsen
10156,2025-08-23,C008,Customer 008,United Kingdom,Financial Services,Mid-Market,Marketing Automation,Marketing,2,599,0.1,1078.2,Noah Andersen
10157,2025-01-09,C077,Customer 077,United Kingdom,Technology,SMB,Analytics Basic,Analytics,4,249,0.0,996.0,Lucas Thomsen
10158,2025-03-15,C072,Customer 072,Sweden,Retail,SMB,CRM Suite,CRM,3,399,0.05,1137.15,Sofia Hansen
10159,2026-05-07,C087,Customer 087,Netherlands,Healthcare,Mid-Market,Data Platform,Data,3,799,0.0,2397.0,Clara Madsen
10160,2025-09-10,C043,Customer 043,Denmark,Retail,Mid-Market,Workflow Automation,Automation,4,449,0.15,1526.6,Lucas Thomsen
10161,2025-08-18,C001,Customer 001,Norway,Retail,SMB,Marketing Automation,Marketing,5,599,0.0,2995.0,Emma Jensen
10162,2026-06-03,C051,Customer 051,Belgium,Financial Services,Enterprise,Business Intelligence,Analytics,2,699,0.05,1328.1,Emma Jensen
10163,2025-06-23,C024,Customer 024,Norway,Healthcare,SMB,Analytics Pro,Analytics,3,499,0.1,1347.3,Noah Andersen
10164,2025-06-17,C099,Customer 099,Denmark,Retail,Mid-Market,Analytics Pro,Analytics,4,499,0.05,1896.2,Freja Larsen
10165,2025-06-19,C024,Customer 024,Norway,Healthcare,SMB,CRM Suite,CRM,10,399,0.0,3990.0,Liam Nielsen
10166,2026-01-28,C017,Customer 017,Norway,Manufacturing,SMB,Analytics Basic,Analytics,5,249,0.2,996.0,Clara Madsen
10167,2025-07-13,C005,Customer 005,Denmark,Professional Services,Mid-Market,Marketing Automation,Marketing,2,599,0.05,1138.1,Oliver Pedersen
10168,2026-06-01,C020,Customer 020,Sweden,Retail,Enterprise,Data Platform,Data,1,799,0.1,719.1,Clara Madsen
10169,2025-01-29,C021,Customer 021,Germany,Technology,SMB,Analytics Basic,Analytics,2,249,0.0,498.0,Emma Jensen
10170,2025-06-14,C058,Customer 058,Sweden,Retail,SMB,Analytics Pro,Analytics,4,499,0.05,1896.2,Emma Jensen
10171,2026-02-26,C031,Customer 031,Germany,Manufacturing,SMB,Analytics Basic,Analytics,2,249,0.05,473.1,Noah Andersen
10172,2025-12-05,C100,Customer 100,Denmark,Healthcare,SMB,Analytics Pro,Analytics,2,499,0.0,998.0,Freja Larsen
10173,2026-05-11,C011,Customer 011,Denmark,Technology,Mid-Market,Analytics Basic,Analytics,4,249,0.0,996.0,Freja Larsen
10174,2025-12-31,C052,Customer 052,United Kingdom,Manufacturing,Mid-Market,CRM Suite,CRM,2,399,0.1,718.2,Noah Andersen
10175,2025-12-08,C015,Customer 015,Sweden,Healthcare,SMB,Customer Support,Customer Experience,5,299,0.0,1495.0,Lucas Thomsen
10176,2026-05-15,C083,Customer 083,Norway,Technology,SMB,CRM Suite,CRM,2,399,0.0,798.0,Clara Madsen
10177,2026-05-26,C007,Customer 007,Denmark,Technology,SMB,CRM Suite,CRM,2,399,0.05,758.1,Emma Jensen
10178,2025-11-23,C028,Customer 028,Germany,Professional Services,Mid-Market,Customer Support,Customer Experience,2,299,0.1,538.2,Clara Madsen
10179,2025-08-05,C051,Customer 051,Belgium,Financial Services,Enterprise,Customer Support,Customer Experience,4,299,0.0,1196.0,Clara Madsen
10180,2025-10-28,C058,Customer 058,Sweden,Retail,SMB,Workflow Automation,Automation,1,449,0.05,426.55,Liam Nielsen
10181,2025-05-12,C005,Customer 005,Denmark,Professional Services,Mid-Market,Workflow Automation,Automation,1,449,0.0,449.0,Emma Jensen
10182,2025-03-11,C005,Customer 005,Denmark,Professional Services,Mid-Market,Marketing Automation,Marketing,10,599,0.0,5990.0,Freja Larsen
10183,2025-09-09,C094,Customer 094,Germany,Manufacturing,Mid-Market,Data Platform,Data,1,799,0.0,799.0,Oliver Pedersen
10184,2026-02-19,C096,Customer 096,Germany,Professional Services,Mid-Market,Data Platform,Data,3,799,0.1,2157.3,Clara Madsen
10185,2026-03-21,C008,Customer 008,United Kingdom,Financial Services,Mid-Market,Marketing Automation,Marketing,3,599,0.0,1797.0,Emma Jensen
10186,2025-07-01,C064,Customer 064,Norway,Professional Services,Mid-Market,CRM Suite,CRM,2,399,0.0,798.0,Clara Madsen
10187,2025-06-16,C010,Customer 010,Netherlands,Healthcare,SMB,CRM Suite,CRM,3,399,0.05,1137.15,Liam Nielsen
10188,2025-04-01,C038,Customer 038,Denmark,Financial Services,SMB,Analytics Pro,Analytics,1,499,0.1,449.1,Lucas Thomsen
10189,2026-06-15,C096,Customer 096,Germany,Professional Services,Mid-Market,Analytics Pro,Analytics,3,499,0.0,1497.0,Sofia Hansen
10190,2025-02-08,C092,Customer 092,Netherlands,Technology,SMB,Data Platform,Data,2,799,0.05,1518.1,Emma Jensen
10191,2025-05-06,C081,Customer 081,United Kingdom,Professional Services,SMB,Marketing Automation,Marketing,3,599,0.0,1797.0,Noah Andersen
10192,2026-03-27,C095,Customer 095,United Kingdom,Professional Services,SMB,Business Intelligence,Analytics,1,699,0.05,664.05,Sofia Hansen
10193,2025-06-22,C008,Customer 008,United Kingdom,Financial Services,Mid-Market,Workflow Automation,Automation,3,449,0.05,1279.65,Clara Madsen
10194,2025-08-08,C025,Customer 025,Finland,Healthcare,SMB,Business Intelligence,Analytics,1,699,0.05,664.05,Noah Andersen
10195,2025-02-27,C073,Customer 073,Denmark,Manufacturing,Enterprise,Marketing Automation,Marketing,2,599,0.0,1198.0,Noah Andersen
10196,2026-04-21,C066,Customer 066,Germany,Financial Services,SMB,Analytics Pro,Analytics,1,499,0.0,499.0,Noah Andersen
10197,2026-04-01,C079,Customer 079,Norway,Retail,SMB,Data Platform,Data,1,799,0.0,799.0,Emma Jensen
10198,2025-12-27,C050,Customer 050,Sweden,Retail,Mid-Market,Data Platform,Data,4,799,0.05,3036.2,Freja Larsen
10199,2025-01-01,C067,Customer 067,Denmark,Retail,SMB,Analytics Pro,Analytics,2,499,0.0,998.0,Clara Madsen
10200,2026-01-22,C049,Customer 049,Germany,Technology,Enterprise,Business Intelligence,Analytics,5,699,0.1,3145.5,Sofia Hansen
10201,2025-12-14,C036,Customer 036,United Kingdom,Retail,SMB,Analytics Basic,Analytics,10,249,0.2,1992.0,Liam Nielsen
10202,2025-07-09,C068,Customer 068,United Kingdom,Technology,SMB,Analytics Basic,Analytics,3,249,0.2,597.6,Freja Larsen
10203,2026-05-20,C078,Customer 078,Denmark,Retail,SMB,Analytics Pro,Analytics,1,499,0.15,424.15,Clara Madsen
